Jahr,Titel englisch
2008,Four Christmases
2008,Bolt
2008,Tropic Thunder
2008,Bedtime Stories
2008,The Mummy: Tomb of the Dragon Emperor
2008,Journey to the Center of the Earth
2008,Eagle Eye
2008,Step Brothers
2008,You Don't Mess with the Zohan
2008,Yes Man
2008,"10,000 B.C."
2008,Beverly Hills Chihuahua
2008,High School Musical 3: Senior Year
2008,Pineapple Express
2008,Valkyrie
2008,21
2008,What Happens in Vegas
2008,Jumper
2008,Cloverfield
2008,The Day the Earth Stood Still (2008)
2008,27 Dresses
2008,Hellboy II: The Golden Army
2008,Vantage Point
2008,The Spiderwick Chronicles
2008,Fool's Gold
2008,Seven Pounds
2008,Role Models
2008,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour
2008,The Happening
2008,Forgetting Sarah Marshall
2008,Baby Mama
2008,Burn After Reading
2008,Step Up 2 the Streets
2008,Saw V
2008,The Strangers
2008,The Forbidden Kingdom
2008,The Tale of Despereaux
2008,Australia
2008,The House Bunny
2008,Nim's Island
2008,Made of Honor
2008,College Road Trip
2008,The Sisterhood of the Traveling Pants 2
2008,Speed Racer
2008,Prom Night (2008)
2008,Rambo
2008,Welcome Home Roscoe Jenkins
2008,Tyler Perry's Meet the Browns
2008,Nights in Rodanthe
2008,Max Payne
2008,Righteous Kill
2008,Body of Lies
2008,Lakeview Terrace
2008,Meet the Spartans
2008,Harold and Kumar Escape from Guantanamo Bay
2008,First Sunday
2008,The Secret Life of Bees
2008,Tyler Perry's The Family That Preys
2008,Death Race
2008,Changeling
2008,Star Wars: The Clone Wars
2008,The Reader
2008,Semi-Pro
2008,Fireproof
2008,Doubt
2008,Drillbit Taylor
2008,"Definitely, Maybe"
2008,The Love Guru
2008,Milk
2008,Transporter 3
2008,Quarantine
2008,Nick and Norah's Infinite Playlist
2008,Zack and Miri Make a Porno
2008,The Eye
2008,Leatherheads
2008,Mirrors
2008,Space Chimps
2008,The Bank Job
2008,Untraceable
2008,Defiance
2008,The Oxford Murders
2008,The Hurt Locker
2008,The Red Baron
2008,In Bruges
2008,The Wrestler
2008,Vicky Cristina Barcelona
2008,Babylon A.D.
2008,W.
2008,Street Kings
2008,Frost/Nixon
2008,The Duchess
2008,Smart People
2008,The Boy in the Striped Pyjamas
2008,RockNRolla
2008,The Counterfeiters
2008,In the Name of the King: A Dungeon Siege Tale
2008,Transsiberian
2008,The Accidental Husband
2008,Entre les murs
2008,The other Boleyn girl
2008,Last Chance Harvey
2008,Rachel Getting Married
2008,Nothing But the Truth
2008,Revolutinary Road
2008,Outlander
2009,Passengers
2007,Spider-Man 3
2007,Shrek the Third
2007,Transformers
2007,Pirates of the Caribbean: At World's End
2007,Harry Potter and the Order of the Phoenix
2007,I Am Legend
2007,The Bourne Ultimatum
2007,National Treasure: Book of Secrets
2007,Alvin and the Chipmunks
2007,300
2007,Ratatouille
2007,The Simpsons Movie
2007,Wild Hogs
2007,Knocked Up
2007,Juno
2007,Rush Hour 3
2007,Live Free or Die Hard
2007,Fantastic Four: Rise of the Silver Surfer
2007,American Gangster
2007,Enchanted
2007,Bee Movie
2007,Superbad
2007,I Now Pronounce You Chuck and Larry
2007,Hairspray (2007)
2007,Blades of Glory
2007,Ocean's Thirteen
2007,Ghost Rider
2007,Evan Almighty
2007,Meet the Robinsons
2007,Norbit
2007,The Bucket List
2007,The Game Plan
2007,Beowulf
2007,Bridge to Terabithia
2007,Disturbia
2007,No Country for Old Men
2007,Fred Claus
2007,1408
2007,The Golden Compass
2007,Charlie Wilson's War
2007,Saw IV
2007,Stomp the Yard
2007,Surf's Up
2007,Halloween (2007)
2007,Tyler Perry's Why Did I Get Married?
2007,TMNT
2007,P.S. I Love You
2007,3:10 to Yuma (2007)
2007,Sweeney Todd: The Demon Barber of Fleet Street
2007,Atonement
2007,Resident Evil: Extinction
2007,Music and Lyrics
2007,Are We Done Yet?
2007,This Christmas
2007,Michael Clayton
2007,Premonition
2007,Dan in Real Life
2007,The Kingdom
2007,Shooter
2007,License to Wed
2007,Underdog
2007,No Reservations
2007,Because I Said So
2007,Aliens Vs. Predator - Requiem
2007,The Water Horse: Legend of the Deep
2007,There Will Be Blood
2007,Epic Movie
2007,Hitman
2007,30 Days of Night
2007,Fracture
2007,Stardust
2007,The Brave One
2007,The Heartbreak Kid
2007,Freedom Writers
2007,Smokin' Aces
2007,The Messengers
2007,The Number 23
2007,Good Luck Chuck
2007,Mr. Bean's Holiday
2007,Breach
2007,Zodiac
2007,Balls of Fury
2007,Mr. Magorium's Wonder Emporium
2007,August Rush
2007,Tyler Perry's Daddy's Little Girls
2007,The Great Debaters
2007,28 Weeks Later
2007,We Own the Night
2007,Mr. Brooks
2007,Hannibal Rising
2007,The Nanny Diaries
2007,Mr. Woodcock
2007,Nancy Drew
2007,The Mist
2007,The Reaping
2007,Grindhouse
2007,Sicko
2007,Across the Universe
2007,Perfect Stranger
2007,Sea Monsters: A Prehistoric Adventure (IMAX)
2007,Alien Agent
2007,Into the Wild
2007,Rabbit Without Ears
2007,Ирония судьбы: Продолжение
2007,The Kite Runner
2007,Hot Fuzz
2007,Gone Baby Gone
2007,Becoming Jane
2007,Next
2007,Elizabeth: The Golden Age
2007,Awake
2007,Shoot 'Em Up
2007,The Lives of Others
2007,디워 (D-War)
2007,Love in the Time of Cholera
2007,Los fantasmas de Goya
2007,Death at a Funeral
2007,The Great Debaters
2007,Before the Devil Knows you're Dead
2007,The Assassination of Jesse James by the Coward Robert Ford
2007,My Blueberry Nights
2007,Lions for Lambs
2007,Things We Lost in the Fire
2007,Battle for Haditha
2007,Reign Over Me
2007,Taxi 4
2006,Pirates of the Caribbean: Dead Man's Chest
2006,Night at the Museum
2006,Cars
2006,X-Men: The Last Stand
2006,The Da Vinci Code
2006,Superman Returns
2006,Happy Feet
2006,Ice Age: The Meltdown
2006,Casino Royale
2006,The Pursuit of Happyness
2006,Over the Hedge
2006,Talladega Nights: The Ballad of Ricky Bobby
2006,Click
2006,Mission: Impossible III
2006,The Departed
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
2006,The Devil Wears Prada
2006,The Break-Up
2006,Dreamgirls
2006,Scary Movie 4
2006,Failure to Launch
2006,Inside Man
2006,Open Season
2006,The Santa Clause 3: The Escape Clause
2006,Charlotte's Web (2006)
2006,The Pink Panther (2006)
2006,Eight Below
2006,Saw III
2006,Nacho Libre
2006,"You, Me and Dupree"
2006,Eragon
2006,Monster House
2006,Jackass: Number Two
2006,Barnyard: The Original Party Animals
2006,RV
2006,V for Vendetta
2006,World Trade Center
2006,Rocky Balboa
2006,Big Momma's House 2
2006,Step Up
2006,Flushed Away
2006,Deja Vu
2006,Miami Vice
2006,Tyler Perry's Madea's Family Reunion
2006,The Holiday
2006,The Fast and the Furious: Tokyo Drift
2006,Underworld: Evolution
2006,The Shaggy Dog
2006,Poseidon
2006,The Good Shepherd
2006,Little Miss Sunshine
2006,The Benchwarmers
2006,Little Man
2006,Curious George
2006,Invincible
2006,Blood Diamond
2006,The Queen
2006,The Guardian
2006,The Omen (2006)
2006,Final Destination 3
2006,The Prestige
2006,The Lake House
2006,Apocalypto
2006,Firewall
2006,Date Movie
2006,When a Stranger Calls
2006,Hostel
2006,Nanny McPhee
2006,Silent Hill
2006,Deep Sea 3D (IMAX)
2006,We Are Marshall
2006,Glory Road
2006,Lady in the Water
2006,The Hills Have Eyes
2006,John Tucker Must Die
2006,Stranger Than Fiction
2006,The Illusionist
2006,The Texas Chainsaw Massacre: The Beginning
2006,The Grudge 2
2006,Gridiron Gang
2006,Last Holiday
2006,Pan's Labyrinth
2006,The Nativity Story
2006,The Wild
2006,Man of the Year
2006,16 Blocks
2006,Accepted
2006,The Sentinel
2006,Children of Men
2006,Deck the Halls
2006,Take the Lead
2006,Babel
2006,Snakes on a Plane
2006,She's the Man
2006,Flags of Our Fathers
2006,United 93
2006,Employee of the Month
2006,Garfield: A Tail of Two Kitties
2006,The Ant Bully
2006,Crank
2006,Ultraviolet
2006,Kabhi Alvida Naa Kehna
2006,Where is Fred?
2006,Hui Buh – Das Schlossgespenst
2006,Tristan & Isolde
2006,The Fall
2006,An Inconvenient Truth
2006,Letters from Iwo Jima
2006,The Black Dahlia
2006,My Super Ex-Girlfriend
2006,Lucky Number Slevin
2006,The Last King of Scotland
2006,The Fountain
2006,A Good Year
2006,Running Scared
2006,All the King's Men
2006,Just My Luck
2006,Arthur et les Minimoys
2006,Little Children
2006,The Last King of Scotland
2006,Rescue Dawn
2006,Wedding Daze
2005,Star Wars: Episode III - Revenge of the Sith
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
2005,Harry Potter and the Goblet of Fire
2005,War of the Worlds
2005,King Kong
2005,Wedding Crashers
2005,Charlie and the Chocolate Factory
2005,Batman Begins
2005,Madagascar
2005,Mr. & Mrs. Smith
2005,Hitch
2005,The Longest Yard
2005,Fantastic Four
2005,Chicken Little
2005,Robots
2005,Walk the Line
2005,The Pacifier
2005,Fun with Dick and Jane
2005,The 40-Year-Old Virgin
2005,Flightplan
2005,Saw II
2005,Brokeback Mountain
2005,Monster-in-Law
2005,Are We There Yet?
2005,Cheaper by the Dozen 2
2005,The Dukes of Hazzard
2005,March of the Penguins
2005,The Ring Two
2005,Constantine
2005,The Exorcism of Emily Rose
2005,Four Brothers
2005,Sin City
2005,The Interpreter
2005,Guess Who
2005,Sahara
2005,Coach Carter
2005,Herbie: Fully Loaded
2005,The Amityville Horror (2005)
2005,Sky High
2005,Bewitched
2005,Jarhead
2005,Cinderella Man
2005,The Family Stone
2005,Red Eye
2005,Memoirs of a Geisha
2005,White Noise
2005,Wallace and Gromit: The Curse of the Were-Rabbit
2005,Be Cool
2005,Crash
2005,"Yours, Mine and Ours"
2005,Tim Burton's Corpse Bride
2005,Kicking and Screaming
2005,Hoodwinked
2005,Hide and Seek
2005,The Hitchhiker's Guide to the Galaxy
2005,Syriana
2005,Tyler Perry's Diary of a Mad Black Woman
2005,Racing Stripes
2005,Miss Congeniality 2: Armed and Fabulous
2005,Just Like Heaven
2005,The Skeleton Key
2005,Munich
2005,Kingdom of Heaven
2005,Boogeyman
2005,The Legend of Zorro
2005,Must Love Dogs
2005,Transporter 2
2005,Rumor Has It
2005,Fever Pitch
2005,The Adventures of Sharkboy and Lavagirl in 3D
2005,The Sisterhood of the Traveling Pants
2005,Pride and Prejudice
2005,The Brothers Grimm
2005,Beauty Shop
2005,Derailed
2005,The Island
2005,The Ringer
2005,Hostage
2005,Magnificent Desolation (IMAX)
2005,The Constant Gardener
2005,In Her Shoes
2005,Bad News Bears
2005,Dreamer: Inspired by a True Story
2005,Because of Winn-Dixie
2005,Just Friends
2005,Stealth
2005,House of Wax
2005,The Wedding Date
2005,"Good Night, and Good Luck."
2005,A History of Violence
2005,Get Rich or Die Tryin'
2005,The Fog (2005)
2005,Zathura
2005,Rent
2005,Capote
2005,Doom
2005,XXX: State of the Union
2005,Elizabethtown
2005,Aeon Flux
2005,Serenity
2005,Lord of War
2005,Thank You for Smoking
2005,The Thief Lord
2005,Kiss Kiss Bang Bang
2005,The World's Fastest Indian
2004,Shrek 2
2004,Spider-Man 2
2004,The Passion of the Christ
2004,Meet the Fockers
2004,The Incredibles
2004,Harry Potter and the Prisoner of Azkaban
2004,The Day After Tomorrow
2004,The Bourne Supremacy
2004,National Treasure
2004,The Polar Express
2004,Shark Tale
2004,"I, Robot"
2004,Troy
2004,Ocean's Twelve
2004,50 First Dates
2004,Van Helsing
2004,Fahrenheit 9/11
2004,Lemony Snicket's A Series of Unfortunate Events
2004,DodgeBall: A True Underdog Story
2004,The Village
2004,The Grudge
2004,The Aviator
2004,Collateral
2004,Million Dollar Baby
2004,The Princess Diaries 2: Royal Engagement
2004,Starsky and Hutch
2004,Along Came Polly
2004,Mean Girls
2004,The SpongeBob SquarePants Movie
2004,Anchorman: The Legend of Ron Burgundy
2004,Scooby-Doo 2: Monsters Unleashed
2004,The Notebook
2004,Alien Vs. Predator
2004,Man on Fire
2004,The Terminal
2004,Garfield: The Movie
2004,Ray
2004,Ladder 49
2004,Christmas with the Kranks
2004,Sideways
2004,White Chicks
2004,Hidalgo
2004,The Forgotten
2004,Kill Bill Vol. 2
2004,The Manchurian Candidate
2004,Barbershop 2: Back in Business
2004,Miracle
2004,Friday Night Lights
2004,Hellboy
2004,The Stepford Wives
2004,Dawn of the Dead
2004,Without a Paddle
2004,The Butterfly Effect
2004,Shall We Dance
2004,The Chronicles of Riddick
2004,13 Going on 30
2004,Saw
2004,Hero
2004,Blade: Trinity
2004,King Arthur
2004,Finding Neverland
2004,A Cinderella Story
2004,The Phantom of the Opera
2004,Resident Evil: Apocalypse
2004,Home on the Range
2004,Fat Albert
2004,Secret Window
2004,Walking Tall
2004,In Good Company
2004,Napoleon Dynamite
2004,Spanglish
2004,Exorcist: The Beginning
2004,You Got Served
2004,Bridget Jones: The Edge of Reason
2004,Catwoman
2004,The Ladykillers
2004,Sky Captain and the World of Tomorrow
2004,Raising Helen
2004,Taxi
2004,Eternal Sunshine of the Spotless Mind
2004,Alexander
2004,Closer
2004,The Punisher
2004,Team America: World Police
2004,Taking Lives
2004,Anacondas: The Hunt for the Blood Orchid
2004,Cellular
2004,Johnson Family Vacation
2004,Open Water
2004,Confessions of a Teenage Drama Queen
2004,After the Sunset
2004,The Prince and Me
2004,Garden State
2004,Jersey Girl
2004,Twisted
2004,The Life Aquatic with Steve Zissou
2004,Around the World in 80 Days
2004,Agent Cody Banks 2: Destination London
2004,Hotel Rwanda
2004,Ella Enchanted
2004,Veer-Zaara
2004,Main Hoon Na
2004,Traumschiff Surprise – Periode 1
2004,Ночной дозор
2004,District 13 – Banlieue 13
2004,Cube Zero
2004,Kung Fu Hustle
2004,Torque
2004,The Machinist
2004,Spartan
2004,Euro Trip
2004,Layer Cake
2004,The Whole Ten Yards
2004,Shaun of the Dead
2003,The Lord of the Rings: The Return of the King
2003,Finding Nemo
2003,Pirates of the Caribbean: The Curse of the Black Pearl
2003,The Matrix Reloaded
2003,Bruce Almighty
2003,X2: X-Men United
2003,Elf
2003,Terminator 3: Rise of the Machines
2003,The Matrix Revolutions
2003,Cheaper by the Dozen
2003,Bad Boys II
2003,Anger Management
2003,Bringing Down the House
2003,Hulk
2003,2 Fast 2 Furious
2003,Something's Gotta Give
2003,Seabiscuit
2003,S.W.A.T.
2003,Spy Kids 3D: Game Over
2003,The Last Samurai
2003,Freaky Friday
2003,Scary Movie 3
2003,The Italian Job
2003,How to Lose a Guy in 10 Days
2003,American Wedding
2003,Daddy Day Care
2003,Daredevil
2003,The Cat in the Hat
2003,Charlie's Angels: Full Throttle
2003,Cold Mountain
2003,Master and Commander: The Far Side of the World
2003,"Legally Blonde 2: Red, White and Blonde"
2003,Mystic River
2003,Brother Bear
2003,Freddy Vs. Jason
2003,School of Rock
2003,The Texas Chainsaw Massacre
2003,The Haunted Mansion
2003,Old School
2003,Kill Bill Vol. 1
2003,Holes
2003,Kangaroo Jack
2003,Big Fish
2003,The League of Extraordinary Gentlemen
2003,Lara Croft Tomb Raider: The Cradle of Life
2003,Mona Lisa Smile
2003,Shanghai Knights
2003,Bad Santa
2003,Love Actually
2003,Gothika
2003,Open Range
2003,Once Upon a Time in Mexico
2003,Just Married
2003,Paycheck
2003,The Recruit
2003,Radio
2003,Identity
2003,Underworld
2003,Runaway Jury
2003,Peter Pan
2003,Agent Cody Banks
2003,The Jungle Book 2
2003,The Rundown
2003,Final Destination 2
2003,Phone Booth
2003,28 Days Later
2003,Lost in Translation
2003,Tears of the Sun
2003,Under the Tuscan Sun
2003,The Lizzie McGuire Movie
2003,Secondhand Lions
2003,Out of Time
2003,Rugrats Go Wild
2003,Head of State
2003,Good Boy!
2003,Uptown Girls
2003,Matchstick Men
2003,National Security
2003,What a Girl Wants
2003,Jeepers Creepers 2
2003,Intolerable Cruelty
2003,Cradle 2 the Grave
2003,Monster
2003,Malibu's Most Wanted
2003,The Hunted
2003,Stuck on You
2003,Dreamcatcher
2003,Darkness Falls
2003,Bend It Like Beckham
2003,The Core
2003,Calendar Girls
2003,Hollywood Homicide
2003,Honey
2003,The Fighting Temptations
2003,Johnny English
2003,The Missing
2003,Basic
2003,A Man Apart
2003,Sinbad: Legend of the Seven Seas
2003,Dumb and Dumberer: When Harry Met Lloyd
2003,Kal Ho Naa Ho
2003,"Good Bye, Lenin!"
2003,La gran aventura de Mortadelo y Filemón
2003,Girl with a Pearl Earring
2003,The Life of David Gale
2003,Taxi 3
2003,The Miracle of Bern
2002,Spider-Man
2002,The Lord of the Rings: The Two Towers
2002,Star Wars: Episode II - Attack of the Clones
2002,Harry Potter and the Chamber of Secrets
2002,My Big Fat Greek Wedding
2002,Signs
2002,Austin Powers in Goldmember
2002,Men in Black II
2002,Ice Age
2002,Chicago
2002,Catch Me If You Can
2002,Die Another Day
2002,Scooby-Doo
2002,Lilo & Stitch
2002,XXX
2002,The Santa Clause 2
2002,Minority Report
2002,The Ring
2002,Sweet Home Alabama
2002,Mr. Deeds
2002,The Bourne Identity
2002,The Sum of All Fears
2002,8 Mile
2002,Road to Perdition
2002,Panic Room
2002,Maid in Manhattan
2002,Two Weeks Notice
2002,Red Dragon
2002,The Scorpion King
2002,Space Station 3-D (IMAX)
2002,Spy Kids 2: The Island of Lost Dreams
2002,Blade II
2002,Snow Dogs
2002,We Were Soldiers
2002,Gangs of New York
2002,Barbershop
2002,The Rookie
2002,Spirit: Stallion of the Cimarron
2002,John Q.
2002,Divine Secrets of the Ya-Ya Sisterhood
2002,Insomnia
2002,Changing Lanes
2002,About Schmidt
2002,Stuart Little 2
2002,Jackass: The Movie
2002,The Time Machine
2002,Drumline
2002,The Count of Monte Cristo
2002,Unfaithful
2002,Like Mike
2002,The Tuxedo
2002,Return to Never Land
2002,Big Fat Liar
2002,Star Trek: Nemesis
2002,Reign of Fire
2002,The Hours
2002,High Crimes
2002,About a Boy
2002,A Walk to Remember
2002,Orange County
2002,Windtalkers
2002,Blue Crush
2002,The Master of Disguise
2002,Resident Evil
2002,The Wild Thornberrys
2002,Collateral Damage
2002,Enough
2002,Undercover Brother
2002,Treasure Planet
2002,Showtime
2002,40 Days and 40 Nights
2002,Crossroads
2002,Clockstoppers
2002,The Mothman Prophecies
2002,E.T. (20th Anniversary)
2002,K-19: The Widowmaker
2002,The Hot Chick
2002,I Spy
2002,Friday After Next
2002,The Pianist
2002,Analyze That
2002,Murder by Numbers
2002,One Hour Photo
2002,Halloween: Resurrection
2002,Queen of the Damned
2002,Dragonfly
2002,The Banger Sisters
2002,Bad Company
2002,Ghost Ship
2002,The New Guy
2002,SwimFan
2002,The Crocodile Hunter: Collision Course
2002,Brown Sugar
2002,Blood Work
2002,All About the Benjamins
2002,Frida
2002,Jonah: A VeggieTales Movie
2002,Beauty and the Beast (IMAX)
2002,The Transporter
2002,The Sweetest Thing
2002,Doctor Zhivago
2002,Citade de Deus
2002,The Four Feathers
2002,Hart's War
2001,Harry Potter and the Sorcerer's Stone
2001,The Lord of the Rings: The Fellowship of the Ring
2001,Shrek
2001,"Monsters, Inc."
2001,Rush Hour 2
2001,The Mummy Returns
2001,Pearl Harbor
2001,Ocean's Eleven
2001,Jurassic Park III
2001,Planet of the Apes (2001)
2001,A Beautiful Mind
2001,Hannibal
2001,American Pie 2
2001,The Fast and the Furious
2001,Lara Croft: Tomb Raider
2001,Dr. Dolittle 2
2001,Spy Kids
2001,Black Hawk Down
2001,The Princess Diaries
2001,Vanilla Sky
2001,The Others
2001,Legally Blonde
2001,America's Sweethearts
2001,Cats & Dogs
2001,Save the Last Dance
2001,Atlantis: The Lost Empire
2001,Jimmy Neutron: Boy Genius
2001,A.I. Artificial Intelligence
2001,Training Day
2001,Along Came a Spider
2001,Bridget Jones's Diary
2001,Scary Movie 2
2001,The Score
2001,Shallow Hal
2001,Swordfish
2001,The Mexican
2001,Down to Earth
2001,Spy Game
2001,The Wedding Planner
2001,Behind Enemy Lines
2001,Ali
2001,The Animal
2001,Moulin Rouge!
2001,Rat Race
2001,A Knight's Tale
2001,Don't Say a Word
2001,Blow
2001,The Royal Tenenbaums
2001,Exit Wounds
2001,Enemy at the Gates
2001,K-PAX
2001,Serendipity
2001,Kate and Leopold
2001,Domestic Disturbance
2001,Zoolander
2001,The One
2001,Thirteen Ghosts
2001,Bandits
2001,Gosford Park
2001,Heartbreakers
2001,I Am Sam
2001,Hardball
2001,Evolution
2001,Not Another Teen Movie
2001,Jeepers Creepers
2001,Kiss of the Dragon
2001,Recess: School's Out
2001,In the Bedroom
2001,Black Knight
2001,See Spot Run
2001,Amelie
2001,Driven
2001,What's the Worst That Could Happen?
2001,Final Fantasy: The Spirits Within
2001,From Hell
2001,Monster's Ball
2001,How High
2001,Riding in Cars with Boys
2001,Jay and Silent Bob Strike Back
2001,Double Take
2001,Baby Boy
2001,The Majestic
2001,The Brothers
2001,Someone Like You
2001,Joe Dirt
2001,The Musketeer
2001,Crocodile Dundee in Los Angeles
2001,Memento
2001,Captain Corelli's Mandolin
2001,Sweet November
2001,15 Minutes
2001,Hearts in Atlantis
2001,Angel Eyes
2001,Corky Romano
2001,Heist
2001,Kingdom Come
2001,Joe Somebody
2001,Two Can Play That Game
2001,Joy Ride
2001,Valentine
2001,The Tailor of Panama
2001,Invinvible
2001,As Fas as My Feet Will Carry Me
2001,Kabhi Khushi Kabhie Gham
2001,Der Schuh des Manitu
2001,Life as a House
2001,The Shipping News
2000,How the Grinch Stole Christmas
2000,Cast Away
2000,Mission: Impossible II
2000,Gladiator
2000,What Women Want
2000,The Perfect Storm
2000,Meet the Parents
2000,X-Men
2000,Scary Movie
2000,What Lies Beneath
2000,Dinosaur
2000,"Crouching Tiger, Hidden Dragon"
2000,Erin Brockovich
2000,Charlie's Angels
2000,Traffic
2000,The Nutty Professor II: The Klumps
2000,Big Momma's House
2000,Remember the Titans
2000,The Patriot
2000,Chicken Run
2000,Miss Congeniality
2000,Gone in 60 Seconds
2000,Unbreakable
2000,"Me, Myself and Irene"
2000,Space Cowboys
2000,The Emperor's New Groove
2000,Scream 3
2000,U-571
2000,Rugrats in Paris: The Movie
2000,The Family Man
2000,Hollow Man
2000,Chocolat
2000,Shaft
2000,Disney's The Kid
2000,Vertical Limit
2000,Road Trip
2000,Bring It On
2000,102 Dalmatians
2000,Rules of Engagement
2000,The Cell
2000,Mission to Mars
2000,Coyote Ugly
2000,Fantasia 2000 (35mm & IMAX)
2000,Snow Day
2000,Next Friday
2000,The Whole Nine Yards
2000,Shanghai Noon
2000,Romeo Must Die
2000,Final Destination
2000,Finding Forrester
2000,The Road to El Dorado
2000,Men of Honor
2000,"Dude, Where's My Car?"
2000,The Tigger Movie
2000,"O Brother, Where Art Thou?"
2000,Frequency
2000,The Replacements
2000,Pokemon: The Movie 2000
2000,The Beach
2000,The Exorcist Director's Cut
2000,Little Nicky
2000,Pitch Black
2000,The Original Kings of Comedy
2000,Bedazzled (2000)
2000,Autumn in New York
2000,28 Days
2000,Keeping the Faith
2000,Bounce
2000,Hanging Up
2000,The Flintstones in Viva Rock Vegas
2000,The Skulls
2000,The 6th Day
2000,Thirteen Days
2000,My Dog Skip
2000,Where the Heart Is
2000,Pay It Forward
2000,Dracula 2000
2000,Return to Me
2000,Proof of Life
2000,Almost Famous
2000,The Legend of Bagger Vance
2000,Snatch
2000,The Art of War
2000,Bless the Child
2000,The Watcher
2000,Love & Basketball
2000,High Fidelity
2000,Book of Shadows: Blair Witch 2
2000,The Adventures of Rocky & Bullwinkle
2000,Nurse Betty
2000,Reindeer Games
2000,Titan A.E.
2000,Billy Elliot
2000,Boys and Girls
2000,Battlefield Earth
2000,Urban Legends: Final Cut
2000,Down to You
2000,Wonder Boys
2000,Best in Show
2000,Mohabbatein
2000,Ordinary Decent Criminal
2000,The Crimson Rivers – Les Piviéres Pourpres
2000,The Road To El Dorado
2000,Whatever it takes
2000,Taxi Taxi
1999,Star Wars: Episode I - The Phantom Menace
1999,The Sixth Sense
1999,Toy Story 2
1999,Austin Powers: The Spy Who Shagged Me
1999,The Matrix
1999,Tarzan
1999,Big Daddy
1999,The Mummy
1999,Runaway Bride
1999,The Blair Witch Project
1999,Stuart Little
1999,The Green Mile
1999,American Beauty
1999,The World Is Not Enough
1999,Double Jeopardy
1999,Notting Hill
1999,Wild Wild West
1999,Analyze This
1999,The General's Daughter
1999,American Pie
1999,Sleepy Hollow
1999,Inspector Gadget
1999,The Haunting
1999,Entrapment
1999,Pokemon: The First Movie
1999,Payback
1999,The Talented Mr. Ripley
1999,Any Given Sunday
1999,Deep Blue Sea
1999,Galaxy Quest
1999,The Thomas Crown Affair
1999,Blue Streak
1999,End of Days
1999,The Bone Collector
1999,Bowfinger
